student_id,name,gender,age,subject,exam_score,exam_date,region,grade_level,school
5105,Nancy Banks,Female,24,History,90.07,2025-09-05,South Mark,Year 3,"James, Li and Murray"
2141,Alejandra Ortiz,Male,25,Computer,87.21,2025-06-14,Paulfort,Year 4,Griffith-Rivera
4263,Mark Reyes,Female,19,Science,69.15,2025-03-13,New Justinchester,Year 4,"Obrien, Williams and Campbell"
7360,Travis Graves,Female,23,English,48.86,2024-11-12,Port Ryanborough,Year 1,Wood-Wang
2943,Joshua White,Female,25,Math,59.25,2025-07-08,West Meghan,Year 3,Jones-Thomas
1714,Mrs. Julie Alexander,Male,21,Computer,68.69,2025-03-15,Kevinbury,Year 3,"Williams, Gonzales and Mayo"
1383,Amy Moore,Male,25,Math,65.85,2025-05-12,Lynchland,Year 3,Montgomery-Thompson
7614,Tammy Wright,Female,18,History,66.98,2025-04-22,Annshire,Year 4,Perez Inc
1681,Curtis Snyder,Female,18,Math,40.56,2025-01-05,Hardystad,Year 3,Martinez-Johnson
8931,Zachary Davila,Female,19,History,58.71,2025-08-16,Gregorybury,Year 1,Garcia-Scott
7045,Stephen Jackson,Female,19,Math,68.79,2025-05-07,Port Matthewmouth,Year 4,"Berry, Torres and Ferguson"
1075,Benjamin Rocha,Female,25,History,72.59,2025-08-30,West Lisa,Year 1,"Stevens, Thompson and White"
1835,Michael Martinez,Male,25,Science,43.11,2025-09-08,Christopherchester,Year 1,"Nelson, Ferguson and Smith"
6524,Michael Hernandez,Male,24,Science,56.16,2025-04-01,Parkerborough,Year 2,Miller-Boyle
8743,Michael Watson,Male,19,Science,92.15,2025-06-19,Port James,Year 4,Rogers-Thompson
6048,Michael Hodge,Male,24,History,66.09,2025-01-05,North Jeffrey,Year 4,Atkins PLC
6290,Tracy Haynes,Male,25,History,87.1,2025-03-01,West Nancy,Year 2,"Barajas, Johnson and Walker"
9926,Kimberly Vasquez,Female,24,Computer,59.02,2025-01-02,Maldonadoville,Year 2,Harrison Inc
4793,Becky Brown DDS,Female,24,Science,70.85,2024-11-27,Port Karenfurt,Year 4,Lara-Santana
5410,Denise King,Female,18,Science,64.86,2025-09-29,Solomonburgh,Year 4,Fisher PLC
8336,Jon Coleman,Male,23,Science,79.17,2025-10-18,Aprilmouth,Year 2,"Hayes, Sawyer and Sosa"
6052,Susan Alvarado,Male,19,History,50.61,2025-07-24,Peterfort,Year 4,"Taylor, Benson and Crawford"
5851,Tina Walton,Female,19,Math,69.05,2024-11-01,Port Susanshire,Year 4,"Roman, Rocha and Harmon"
8439,Robin Davidson,Male,22,Science,45.56,2025-10-22,Medinaside,Year 2,Miller PLC
9812,Mary Conley,Male,20,Computer,94.08,2025-10-09,Guzmantown,Year 3,"Marsh, Le and Kelly"
8580,Monica Ford,Male,24,English,91.38,2025-05-10,Lake Annaton,Year 2,Beltran-Kennedy
3872,Alyssa Johnson,Male,22,English,71.97,2025-06-05,West Mistyfurt,Year 2,Henderson-Patel
3395,Steven Douglas,Male,23,Science,43.03,2025-03-19,North Adam,Year 1,Maldonado-Hall
7843,Jesse Hunter,Female,20,History,83.67,2024-12-10,Danielsview,Year 4,Russell-Mccullough
8619,William Stephens,Female,22,History,58.7,2024-12-30,East Kellymouth,Year 1,Mooney LLC
7613,Justin Mcdowell,Male,19,English,85.45,2025-10-03,South Julie,Year 3,Cannon Group
2853,Curtis Lynch,Male,18,English,88.23,2025-01-04,New Lindachester,Year 4,Johnson-Morris
7290,Christy Burns,Female,19,Computer,51.34,2025-02-05,North Kimberly,Year 2,Trujillo-Mullen
2140,Lori Lawson,Male,20,Science,81.15,2025-01-13,Obrienstad,Year 3,Torres-Thompson
8303,Justin Garcia,Male,20,Computer,89.27,2025-10-01,Johnsbury,Year 4,Haas-Woodard
7909,Scott Medina,Female,25,History,75.36,2025-02-13,West Susanberg,Year 4,Wong-Montoya
8317,Maria Navarro,Male,18,Computer,70.36,2025-04-10,Jackview,Year 1,Gregory-Coffey
2259,Sandra Hill,Female,18,Computer,50.67,2025-09-29,Bethshire,Year 3,Lee PLC
8730,Stephanie Williams,Male,19,History,86.22,2025-08-15,East Hannah,Year 2,Carter LLC
1574,Nancy Davis,Male,21,Computer,66.25,2025-06-29,Lake Shelbyfort,Year 3,"Washington, Morris and Williams"
8677,Kyle Wilson,Female,21,Math,45.65,2025-01-17,West Ryanland,Year 2,Rowe and Sons
1626,Allen Walker,Male,18,History,61.95,2025-06-16,Watkinsbury,Year 1,"Mckinney, Butler and Harvey"
3031,Mercedes Pearson,Female,22,Science,63.08,2025-05-10,New Ronald,Year 2,"Lopez, Delgado and Robertson"
8236,Timothy Williams,Male,24,Computer,66.04,2025-04-09,Michaelshire,Year 3,"Scott, Ray and Brennan"
4436,Julia Scott,Female,24,Science,44.63,2025-05-19,Ellisview,Year 4,"Moreno, Roberts and Ruiz"
6873,Eric Brandt,Female,18,Math,97.82,2025-10-16,Wrighthaven,Year 3,Haynes and Sons
7218,Savannah Daniel,Male,18,Math,98.1,2025-06-18,Brooksport,Year 2,Cox-Tanner
5751,Michael Ford,Female,25,History,99.1,2025-01-19,Lake Megan,Year 1,Barnes-Smith
1636,Ronald Winters,Male,21,Science,68.08,2025-01-05,West Brandi,Year 1,"Dennis, Hernandez and Collins"
7816,Marco Williams Jr.,Male,21,Computer,60.76,2025-07-22,Lamborough,Year 4,Hernandez-Lawson
8601,Rodney Chavez,Female,23,History,42.83,2025-04-26,Heatherport,Year 1,Cole-Green
7932,Steven Anderson,Male,22,English,60.55,2025-03-17,West Deborah,Year 1,Taylor-Bell
2958,Kimberly Cox,Male,21,History,50.58,2025-09-02,East Sandraberg,Year 1,Adams Group
5475,Joshua Ellis,Male,20,Science,53.17,2025-08-13,Kimberlyburgh,Year 1,"Edwards, Sullivan and Jones"
1757,David Palmer,Male,24,Science,47.41,2024-10-27,Lake Jamesport,Year 3,Baker LLC
5780,Ryan Rogers,Male,25,Computer,49.62,2025-05-08,Lake Ralph,Year 1,"Chen, Watts and Holt"
4983,Kevin Martin,Male,21,Science,48.9,2025-08-26,Charleston,Year 4,Moore-Diaz
6182,Anthony Mcmillan,Female,20,Math,50.95,2025-01-09,Port Melissa,Year 3,"Lewis, Mills and Taylor"
2616,George Bentley,Female,21,Computer,40.09,2025-01-13,Jackport,Year 4,"Arellano, Brown and Alvarado"
4580,Blake Hunt,Male,19,History,43.45,2025-08-28,Webbchester,Year 1,"Myers, Spencer and Armstrong"
4244,Mr. Carl Stephens MD,Female,23,History,45.08,2025-02-17,Joshuaview,Year 4,Harmon Ltd
3333,James Webb,Male,19,Science,67.11,2025-04-13,Jaredstad,Year 1,Flynn LLC
6972,Brenda Lopez,Female,25,Computer,49.62,2025-01-19,Cherylbury,Year 3,Lopez-Garner
8802,Ryan Ballard,Male,24,English,94.91,2025-02-06,North Samuel,Year 3,Thomas-Drake
6611,Michael Watkins,Female,23,History,47.96,2024-11-27,Matthewhaven,Year 4,Green and Sons
5172,Jacqueline Swanson,Female,24,Computer,96.19,2025-07-30,Stacyside,Year 3,Farrell-Bennett
1186,Kurt Roach,Female,21,Computer,73.93,2024-10-27,Port Crystalland,Year 2,Rodgers-Berry
7596,Patrick Mendoza,Female,18,Math,87.2,2025-02-21,Nicholsfort,Year 3,"Tucker, Garcia and Rivera"
3857,Gerald Miller,Female,20,English,48.26,2025-08-20,South Jenniferport,Year 3,Gonzalez-Garcia
4274,Susan Aguilar,Male,21,Science,42.89,2025-04-27,New Garybury,Year 4,Brown-Sullivan
6396,Steven Wilson,Female,19,History,42.15,2025-10-05,Port Melissa,Year 1,Jackson-Dunn
2909,Ryan Schmitt,Male,18,Math,95.16,2024-12-03,West Christopherport,Year 1,Hess-Blair
2946,Terri Buck,Male,20,Math,88.49,2024-11-04,New Hannah,Year 4,Suarez-Dixon
7195,James Warren,Female,20,English,88.26,2024-12-01,Jessicaburgh,Year 4,"Hines, Douglas and Lewis"
9976,Kevin Wong,Female,23,Math,61.18,2024-11-23,Port Patriciahaven,Year 3,Singh-Anderson
3261,Latasha Porter,Female,21,Science,85.9,2025-01-07,Lake Maryborough,Year 4,Freeman-Brown
4414,Maria Carr,Female,22,Science,58.96,2025-10-03,Joannaport,Year 3,Foster LLC
4621,Madeline Nguyen,Female,25,Math,94.44,2025-06-26,West Danielland,Year 4,"Murphy, Lin and Hamilton"
2238,Brian Mcconnell,Male,25,English,48.08,2025-08-19,South Nicole,Year 4,"Baker, Rose and Garcia"
7192,Alex Pace,Female,22,History,78.09,2025-07-13,Jenniferchester,Year 1,Frey-Johnson
5156,Jessica Garrett,Female,22,History,89.01,2025-04-10,Jonathanmouth,Year 4,Brown LLC
7026,Henry Byrd,Female,19,Computer,94.42,2025-06-19,West Tracimouth,Year 1,Williams-Smith
8628,Christopher Baxter,Male,20,Computer,87.89,2025-10-05,Brittanyview,Year 4,White PLC
8330,Tiffany Mendoza,Male,24,Science,57.6,2025-02-08,Hornestad,Year 2,Barnes Inc
3814,Tracy Walker,Male,23,History,88.99,2025-08-01,Jessicafort,Year 4,Adams and Sons
7096,Sarah Livingston,Female,19,Math,43.47,2024-11-18,Willistown,Year 2,Lester-Graves
6809,Dr. Christina Hill,Female,20,English,56.58,2024-11-17,New Jeanne,Year 1,"Miller, Jones and Sosa"
3131,Pedro Parker,Male,19,Math,82.73,2025-05-29,Baileymouth,Year 2,Martin Group
7602,Tabitha Jones,Male,20,Science,58.18,2025-02-12,Christopherton,Year 4,"May, Brown and Warner"
2021,Jacqueline Myers,Female,21,Computer,89.12,2024-11-17,Penafurt,Year 1,Glenn-Sutton
4899,Jordan Holmes,Male,19,Math,76.83,2024-11-13,East Alex,Year 2,Smith and Sons
9972,Charles Moreno,Male,24,History,74.41,2025-06-27,South John,Year 4,Martin Ltd
4853,Chad Castro,Male,21,Computer,65.24,2025-09-23,Troytown,Year 3,White Ltd
6458,Kimberly Carter,Male,18,Science,90.31,2025-04-14,Nicoleshire,Year 3,"White, Smith and Cox"
8216,Laura Ward,Female,22,Science,78.28,2025-05-27,Ginaport,Year 3,"Hess, Bryan and Adams"
7992,Gary Summers,Female,19,History,69.77,2025-09-26,Kimfurt,Year 1,Richards-Valentine
5607,John Johnston,Male,21,English,82.21,2025-03-19,Murraymouth,Year 1,Chandler-Petersen
9021,James Gilbert,Male,20,Science,44.73,2025-10-05,Lopezside,Year 4,"Heath, Brown and Little"
9760,Vicki Mitchell,Female,22,Math,78.42,2025-02-25,Port Stephaniemouth,Year 3,"Aguilar, Murray and Gray"
8811,Geoffrey Hartman,Female,25,History,86.9,2024-11-04,Vaughnport,Year 2,Flores LLC
6449,Thomas Brewer MD,Male,19,Computer,97.71,2025-08-07,Kimshire,Year 1,Oconnor and Sons
4752,Donna Wells,Female,22,Science,50.88,2025-01-10,Webertown,Year 1,"Kennedy, Rodriguez and Bell"
3882,Christina Webb,Male,20,Computer,56.25,2025-10-16,Lake Joelton,Year 4,"Trevino, Fischer and Ellis"
3450,Meredith Bennett MD,Male,18,History,76.57,2025-04-19,North Stevenborough,Year 2,"Anderson, Edwards and Pruitt"
9625,Robin Chambers,Female,19,History,86.29,2025-09-09,Schultzburgh,Year 4,"Armstrong, Franklin and Green"
6375,Christopher Allen,Male,24,History,54.27,2025-03-16,Bergerview,Year 3,Wilkins PLC
6357,Michael Goodwin,Female,24,Computer,77.7,2025-10-18,Lake Markland,Year 1,Kim-Edwards
7580,Justin Hansen,Male,18,English,61.01,2025-07-28,Ronaldmouth,Year 1,Rivera Group
4514,Jenny Johnson,Male,20,Math,59.85,2024-12-02,North Robert,Year 1,Mathis-Mendoza
7874,Derek Thomas,Male,19,History,81.73,2025-05-09,Lake Johnview,Year 2,"Jenkins, Gross and Davis"
7519,Kristen Waters,Male,24,History,61.13,2025-07-23,Elizabethside,Year 2,"Rivera, Richards and Baker"
5671,Mary Sandoval,Male,18,English,41.47,2025-02-25,East Logan,Year 1,Lee-Wallace
4160,Lisa Martinez,Female,20,English,81.29,2025-06-19,New Troybury,Year 2,"Marks, Rodriguez and Rose"
3176,William Bowen,Female,18,History,44.03,2025-01-14,Fisherfort,Year 4,"Hurst, Rowe and Allen"
6600,Jeffrey Cummings,Female,20,History,97.84,2025-08-18,Jamiestad,Year 3,Clark Group
7792,Kevin Jones,Female,19,Math,59.81,2025-03-08,New Kenneth,Year 3,Giles Ltd
3582,Scott Hardin,Male,21,History,88.83,2025-06-25,Ariasport,Year 3,Jordan-Daniels
7040,Robert Allison,Female,24,English,66.81,2025-09-22,Penaview,Year 3,Vega and Sons
1957,Wendy Beasley,Male,18,History,86.11,2025-05-12,New Nathanielmouth,Year 3,Smith PLC
8901,Michelle Abbott,Female,19,History,42.67,2025-08-18,South Kevinmouth,Year 3,Jones-Hall
6346,Ms. Sara Marshall,Male,23,Computer,43.67,2025-09-14,North Guy,Year 2,Hardy Group
7405,Ronald Dunn,Female,24,English,81.47,2025-01-13,South Caleb,Year 2,Martin Inc
8214,Bradley Snow,Female,25,English,43.28,2024-11-26,Robinsonchester,Year 3,Irwin-Logan
4631,Caitlin Vega,Male,23,History,89.46,2024-11-30,New Jamesside,Year 3,Ward Inc
3563,Amanda Kelly,Female,25,Computer,87.2,2024-12-15,Port Karenville,Year 3,"Williams, Dennis and Barrera"
3837,Henry Bond,Female,18,Math,41.19,2024-12-14,Joshuafurt,Year 1,Thompson PLC
6720,Becky Edwards,Male,18,English,89.83,2025-03-19,Brookstown,Year 3,Ramos-Johnson
1495,John Moreno,Female,22,History,65.49,2025-03-28,Fullerfurt,Year 4,"Johnson, Lynch and Miller"
7152,Sarah Owens,Male,18,Math,57.66,2024-12-02,Stevenburgh,Year 4,Newman-Davis
4820,Marc Rodgers,Male,18,Computer,41.5,2025-02-04,South Donna,Year 1,Allen-Brown
4921,Michael Andrews,Male,24,Science,95.62,2025-07-01,Phillipside,Year 2,"Farmer, Hill and Adams"
4866,Casey Ware,Male,21,Math,84.06,2024-12-29,Thomasside,Year 3,Payne-Lowery
6823,Kimberly Wolfe,Female,21,Computer,69.19,2025-03-31,North Daniellefurt,Year 3,Kelly-Allen
9683,Jeffrey Cardenas,Male,18,Computer,53.72,2025-09-17,Ryanborough,Year 4,Sanchez Inc
6340,Sheila Henry,Female,18,History,71.25,2025-08-11,Lake Courtney,Year 4,Gonzalez Inc
8151,Phyllis Jefferson,Female,21,Computer,67.74,2025-02-03,Robertberg,Year 1,Patel Inc
5126,William Davis,Male,18,Computer,50.22,2025-06-28,Margaretfurt,Year 2,Jones Group
5925,Lindsay Trujillo,Female,23,Computer,74.95,2025-10-17,Williamsside,Year 1,Logan PLC
1136,Zachary Gardner,Male,22,History,49.84,2025-01-25,Laurahaven,Year 4,Schneider PLC
4255,Donna Franco,Female,19,Science,46.41,2024-12-05,Lake James,Year 1,Wallace-Martin
2585,Amanda Miller,Male,19,Science,93.12,2024-11-01,North Tami,Year 2,"Williams, Wilson and Robertson"
5945,Matthew Sanchez,Male,19,Science,65.11,2025-08-15,North Amyhaven,Year 1,"Ward, Gray and Rodriguez"
3386,Dennis Jimenez,Female,18,History,58.27,2024-12-26,Lake Ginaville,Year 1,Hill-Miller
7624,Robert Higgins,Female,18,English,79.77,2024-11-26,Levyland,Year 3,Wang PLC
6599,Steven Lowe,Male,18,Computer,77.68,2025-06-16,Cookside,Year 3,"Wilson, Barnes and Rangel"
5373,Kaitlin Ferguson,Male,23,English,44.44,2025-02-17,New Jennifer,Year 4,Woods PLC
4965,Brittany Lee,Female,24,Math,59.8,2025-07-08,Powellberg,Year 1,Long-Simmons
7837,Jessica Young,Male,21,Science,49.04,2025-04-22,West Traci,Year 1,Brown Inc
2869,Sean Vega,Male,25,Computer,70.64,2025-02-26,Ramirezton,Year 1,Oliver-Wallace
6489,Jodi Higgins,Female,24,English,71.25,2025-02-15,West Carrie,Year 1,Moore-Gonzalez
6274,Gloria Middleton,Female,19,Science,95.36,2025-02-19,New Wayne,Year 3,Liu-Raymond
2378,Christopher Downs,Male,21,History,78.84,2024-12-15,Kellymouth,Year 3,"Bright, Hopkins and Hart"
9690,Travis Mack,Male,20,English,63.71,2025-06-22,Lake Chadhaven,Year 1,Smith-Myers
7112,Evan Martinez,Male,23,English,90.56,2025-07-12,Ruizstad,Year 2,Scott Group
2013,Brittany Dodson,Female,22,Science,81.14,2025-10-21,Jamesview,Year 1,"Peters, Nelson and Cabrera"
6604,Reginald Lopez,Male,25,English,91.48,2024-12-23,Allisontown,Year 3,Williams Ltd
7455,Tina Snyder,Female,20,Science,81.67,2025-07-11,Flynnborough,Year 3,Middleton PLC
2657,Shawn Smith,Male,23,Computer,68.52,2025-01-11,Port Carlos,Year 4,"Adams, Arias and Miller"
9890,Alexander Banks,Female,21,English,40.41,2025-03-01,Port Julieborough,Year 3,"Mckee, Black and Krueger"
5223,Tina Robles,Male,20,Science,51.86,2024-11-05,New Victoria,Year 3,Todd Group
8526,Kevin Howard,Male,21,Math,62.62,2025-03-31,Davidstad,Year 4,Richardson PLC
9523,Deanna Walker,Male,24,Computer,76.5,2025-06-28,Gabrielleland,Year 2,Murphy-Rhodes
8952,Emily Caldwell,Male,20,Computer,42.22,2025-08-09,Ericksonfort,Year 1,Jackson-Schaefer
7432,Heather Cameron,Female,24,Computer,70.53,2025-04-23,Colehaven,Year 4,Aguilar-Berg
7315,James Hernandez,Male,24,Computer,68.43,2024-12-03,Richardtown,Year 4,"Peterson, Clayton and Baker"
9903,Jennifer Harper,Male,23,English,85.53,2025-03-06,East Cynthiashire,Year 4,Mueller Group
5672,Leonard Meyers,Female,23,History,57.1,2025-07-04,Dawsonchester,Year 2,"Robertson, Washington and James"
6688,Jennifer White,Female,25,Math,60.82,2025-09-17,Rebeccafurt,Year 2,"Knight, Obrien and Yu"
1985,Ryan Moore,Male,22,Computer,87.87,2024-11-21,Allenmouth,Year 3,Fisher-Morris
5825,Michelle Bailey,Male,18,English,71.69,2025-05-21,Hallville,Year 2,"Clark, Bryant and Campbell"
7305,David Rodriguez,Female,22,Science,71.77,2025-07-14,Jamesburgh,Year 4,Frye PLC
3442,Steven Castillo,Male,22,History,67.08,2025-07-01,West Jesse,Year 3,Davis-Hardy
7555,Ronald Schwartz,Male,23,Science,41.35,2024-11-30,Peterfort,Year 1,"Wilkinson, Walters and Mueller"
6848,Tammy Smith,Male,21,History,71.62,2025-01-11,North Brooke,Year 3,Lopez LLC
5024,Christopher Sanchez,Male,24,Math,43.75,2025-06-04,Olsonton,Year 1,Sanders Inc
3005,Sandra Johnson,Female,22,Computer,46.82,2025-01-08,Lake Nicole,Year 3,Morris-Morris
7638,Michael Hammond,Male,18,Computer,57.59,2025-05-25,East Robert,Year 3,Sanchez-Phillips
2191,Nathan Mendoza,Female,23,History,58.01,2025-08-14,South Edwardfort,Year 2,"Jones, Tucker and Powell"
7355,Thomas Cruz,Male,24,Computer,95.51,2025-01-03,New Matthewville,Year 3,"Turner, Holden and Martinez"
9183,Amanda Kane,Female,24,Math,42.37,2025-05-03,North Haley,Year 4,Dalton-Mcdaniel
7454,Christopher Simpson,Male,24,English,41.11,2025-08-29,Ruizmouth,Year 1,Taylor PLC
3988,Kathleen Robertson,Female,24,History,82.74,2025-04-04,North Josephborough,Year 4,"Salinas, Mason and Bernard"
3336,Amanda Vargas,Male,25,Computer,82.55,2024-12-11,Jamesview,Year 3,James and Sons
3991,Rebecca Floyd,Male,19,Science,54.83,2025-07-02,Dianafort,Year 3,"Lopez, Chavez and Hamilton"
2039,Rebecca Smith,Female,23,English,52.97,2025-05-28,Floresport,Year 1,"Wheeler, Bryant and Brown"
5532,Nicolas Lopez,Male,24,English,95.23,2025-05-05,Lake Jill,Year 1,Farley Inc
1124,Carolyn Ward,Female,24,History,84.3,2025-06-17,Port Morganton,Year 1,Jenkins-Cruz
8338,Bernard Miller,Male,22,Math,56.24,2025-05-22,Sonyaborough,Year 1,Phillips-Garrett
7978,Diana Short,Female,20,Science,63.3,2025-04-07,Hickshaven,Year 2,"Charles, Anderson and Thomas"
9148,Vincent Baldwin,Female,25,Math,43.07,2025-03-20,Lake Theresa,Year 2,Moore Ltd
6817,Perry Oconnor,Male,18,Science,77.9,2025-05-11,Brewerchester,Year 4,Johnson-Shaw
8916,Leslie Martinez,Male,25,History,85.01,2024-11-06,Port Daniel,Year 4,"Bowen, Sweeney and Melendez"
7581,Jessica Green,Male,24,History,68.74,2024-11-03,Lauraton,Year 4,"Lee, Jones and Shaffer"
8750,Michael Cobb,Male,18,Science,87.02,2024-11-07,Port Stevenview,Year 2,Hahn and Sons
9421,Stephanie Martinez,Female,19,Computer,58.91,2025-04-23,South Jasonview,Year 4,"Barnes, Brown and Barber"
4977,Jose Ballard,Female,21,History,75.39,2025-05-03,North Molly,Year 4,Hull-Edwards
9585,Robert Marshall,Male,25,Math,72.99,2025-10-21,Lake Kirk,Year 1,Carson LLC
6542,Madison Brandt,Male,22,English,51.1,2025-08-20,Melissaville,Year 3,Mcknight-Bradshaw
1770,Dylan Robinson,Male,22,Computer,50.88,2025-04-23,Port Danielland,Year 3,"Maddox, Stone and Miranda"
1051,Bobby Walker,Male,22,Science,85.76,2024-11-28,Jenniferside,Year 3,Morris-Green
7143,Aaron Bennett,Female,25,Math,96.81,2025-04-22,Ryanberg,Year 2,Sims-Cook
7631,Grace White,Female,18,English,65.21,2025-08-06,Cruzbury,Year 2,Brown LLC
4680,Erin Obrien,Female,23,English,49.19,2025-09-10,Williamburgh,Year 2,"Sutton, Thomas and Adkins"
5790,Angela Hebert,Male,21,English,59.64,2025-04-21,Lesliemouth,Year 4,"Chandler, Stokes and Peterson"
4404,Emily Roberts,Male,19,Computer,47.56,2025-10-20,North Adrian,Year 4,Parker-Barrera
5442,Kevin Blake,Female,22,History,70.47,2025-09-03,West Angela,Year 4,"Young, Choi and Adams"
4531,Michael Barnes,Female,24,Science,99.29,2025-10-22,Port Sarah,Year 2,Bass-Rose
8247,Douglas Clark,Female,19,History,94.07,2025-01-26,South Tylertown,Year 2,"Vasquez, Griffin and Roman"
9973,Brianna Shaw,Female,18,Computer,57.8,2025-04-20,Lake Robert,Year 3,Hart-Terrell
8218,Jesus Bradford,Female,23,English,40.96,2025-06-22,North Christopher,Year 2,Scott PLC
1246,Jeff Smith,Female,23,English,61.76,2025-10-01,North Christian,Year 1,Hicks-Jackson
6916,Riley Mccoy,Male,19,Computer,46.39,2025-07-02,South Timothyfort,Year 1,Allison Inc
3469,Gina Barry,Male,22,English,78.84,2025-09-07,Lake Eddiebury,Year 1,Hopkins Inc
5722,Alyssa Smith,Male,21,English,67.71,2025-04-16,Evansbury,Year 1,Joyce-Anderson
2091,Kristin Austin,Male,21,Computer,98.59,2024-12-01,Fosterfort,Year 2,Walker-Webb
2192,Lynn Williams,Male,22,English,67.6,2025-04-17,New Evan,Year 1,Collins Ltd
2455,William Moon,Female,23,English,61.26,2025-08-13,Wattsburgh,Year 2,Richardson Ltd
7299,Amanda Hughes,Male,23,Math,52.91,2025-03-17,West Cynthia,Year 2,Mullins Group
2680,Natalie Kelly,Male,18,History,69.73,2025-06-10,Cannonburgh,Year 3,Harper Ltd
2881,Dustin Holmes,Female,21,Computer,55.51,2025-09-25,East Erin,Year 1,"Villegas, Davis and Marshall"
8045,Ian Owens,Female,21,Computer,67.03,2025-06-02,Anthonyview,Year 1,"Ryan, Allen and Hunt"
7187,Billy Padilla,Female,23,Computer,58.26,2025-01-11,Lake Aimeeshire,Year 3,"Evans, Richards and Vasquez"
8764,Martha Knapp,Female,25,Computer,63.19,2025-06-03,Mikeport,Year 3,"Walker, Ross and Jones"
5908,Mikayla Morgan,Female,22,Computer,85.41,2025-08-22,Crosbyland,Year 3,Lin-Martinez
5901,Suzanne Simon,Male,19,Computer,97.75,2025-09-13,Hannaport,Year 1,Lopez-Martinez
8206,Christina Harrison,Female,21,English,61.89,2024-12-07,Khanborough,Year 2,Jones Inc
2819,Jennifer Collins,Male,19,Computer,56.08,2024-12-16,Port Brian,Year 1,Cortez Ltd
9777,Dustin White,Female,23,Computer,75.76,2025-10-11,Davidport,Year 4,Anderson Group
2891,Amy Simpson,Male,25,English,82.57,2025-01-16,Jenniferberg,Year 3,"Hanson, Maxwell and Becker"
1283,Brooke Farrell,Female,23,English,77.78,2025-04-22,Stephanieland,Year 2,"Morales, Green and Smith"
2587,Christopher Murillo,Female,24,English,68.02,2025-06-25,South Alisonbury,Year 1,Shields Ltd
3080,Claudia Morrow,Female,20,Math,40.5,2025-07-16,Amandaport,Year 1,Holloway Inc
3178,Leroy Ramsey,Male,20,English,90.03,2025-08-05,Mannmouth,Year 2,"Watson, Perez and Martinez"
7641,Melody Williams,Male,20,Computer,78.28,2025-01-27,Port Katrinaborough,Year 3,Phillips-Reyes
5344,Joseph Owens,Female,23,Science,42.03,2024-11-01,Perezshire,Year 2,Roberts Group
4867,Tara Marshall,Male,18,Computer,65.57,2025-09-20,Lake Anthony,Year 3,"Martin, Nelson and Torres"
8573,Chelsea Norton,Female,18,Science,55.01,2025-07-12,East Janice,Year 3,Cook-Black
4439,Lauren Powell,Male,20,Computer,83.18,2025-04-04,Lake Erin,Year 4,Riley Ltd
5098,David Stanley,Male,19,English,79.41,2025-07-25,Kimberlymouth,Year 4,Kerr-Green
1282,Elizabeth Wise,Male,20,Math,93.44,2025-09-20,Krauseport,Year 1,"Waters, Davis and Davidson"
9128,Mark Johnston,Male,25,Computer,54.94,2025-10-18,Andradeburgh,Year 4,Delgado-Jones
1887,Dylan Hawkins,Female,24,Computer,75.01,2025-05-08,Nguyenton,Year 3,Wright-Clark
8432,Sarah Morgan,Female,22,Math,71.49,2024-12-09,Port Michaeltown,Year 3,Vargas-Thomas
2116,Kristen Pratt,Female,24,History,78.77,2025-03-30,North Karen,Year 4,Cummings Ltd
1062,April Smith,Female,22,History,56.71,2025-05-08,South Christinemouth,Year 4,"Dixon, Davis and Thompson"
